Date,Last Price,Date,Last Price,Date,Last Price
,,5/6/2016,1.84,6/2/2016,2.19
,,5/5/2016,2.0476,6/1/2016,2.2264
,,5/4/2016,1.9969,5/31/2016,2.05
,,5/3/2016,1.9208,5/27/2016,1.8614
,,5/2/2016,1.9084,5/26/2016,1.8199
,,4/29/2016,1.9081,5/25/2016,1.7648
,,4/28/2016,1.8926,5/24/2016,1.8615
,,4/27/2016,1.8808,5/23/2016,1.86
,,4/26/2016,1.8765,5/20/2016,1.76
,,4/25/2016,1.9778,5/19/2016,1.74
,,4/22/2016,1.8993,5/18/2016,1.79
,,4/21/2016,1.939,5/17/2016,1.96
,,4/20/2016,2.0155,5/16/2016,1.9075
,,4/19/2016,1.8996,5/13/2016,1.92
,,4/18/2016,1.766,5/12/2016,2
,,4/15/2016,1.7175,5/11/2016,2.0109
,,4/14/2016,1.9217,5/10/2016,2.01
,,4/13/2016,1.9805,5/9/2016,1.98
,,4/12/2016,1.9418,5/6/2016,1.89
,,4/11/2016,1.8733,5/5/2016,2.04
,,4/8/2016,2.0008,5/4/2016,2.11
,,4/7/2016,1.9345,5/3/2016,2.06
,,4/6/2016,1.8625,5/2/2016,1.98
,,4/5/2016,1.8967,4/29/2016,1.9374
,,4/4/2016,1.9545,4/28/2016,1.94
,,4/1/2016,1.8295,4/27/2016,1.93
,,3/31/2016,1.9548,4/26/2016,1.92
,,3/30/2016,1.8375,4/25/2016,1.96
,,3/29/2016,1.77,4/22/2016,1.9
,,3/28/2016,1.735,4/21/2016,1.94
,,3/24/2016,1.755,4/20/2016,1.9771
,,3/23/2016,1.81,4/19/2016,1.92
,,3/22/2016,1.7546,4/18/2016,1.73
,,3/21/2016,1.7608,4/15/2016,1.682
,,3/18/2016,1.8382,4/14/2016,1.88
,,3/17/2016,1.819,4/13/2016,1.92
,,3/16/2016,1.7361,4/12/2016,1.9
,,3/15/2016,1.7772,4/11/2016,1.91
,,3/14/2016,1.6835,4/8/2016,1.9886
,,3/11/2016,1.7225,4/7/2016,1.97
,,3/10/2016,1.6963,4/6/2016,1.92
,,3/9/2016,1.5734,4/5/2016,1.97
,,3/8/2016,1.5489,4/4/2016,2.0172
,,3/7/2016,1.5222,4/1/2016,1.98
,,3/4/2016,1.4927,3/31/2016,1.99
,,3/3/2016,1.5566,3/30/2016,2.01
,,3/2/2016,1.5857,3/29/2016,1.89
,,3/1/2016,1.5675,3/28/2016,1.85
,,2/29/2016,1.6164,3/24/2016,1.85
,,2/26/2016,1.6648,3/23/2016,1.8964
,,2/25/2016,1.7652,3/22/2016,1.94
,,2/24/2016,1.7931,3/21/2016,2.02
,,2/23/2016,1.828,3/18/2016,2
,,2/22/2016,1.8415,3/17/2016,1.98
,,2/19/2016,1.8083,3/16/2016,1.94
,,2/18/2016,1.8736,3/15/2016,1.99
,,2/17/2016,1.9125,3/14/2016,1.87
,,2/16/2016,1.9187,3/11/2016,1.87
,,2/12/2016,2.0669,3/10/2016,1.83
,,2/11/2016,2.1219,3/9/2016,1.85
,,2/10/2016,2.128,3/8/2016,1.76
,,2/9/2016,2.167,3/7/2016,1.71
,,2/8/2016,2.2242,3/4/2016,1.68
,,2/5/2016,2.0866,3/3/2016,1.68
,,2/4/2016,2.0485,3/2/2016,1.7174
,,2/3/2016,2.0591,3/1/2016,1.73
,,2/2/2016,2.0351,2/29/2016,1.6737
,,2/1/2016,2.1838,2/26/2016,1.75
,,1/29/2016,2.2517,2/25/2016,1.7639
,,1/28/2016,2.1163,2/24/2016,1.7986
,,1/27/2016,2.2384,2/23/2016,1.8605
,,1/26/2016,2.2288,2/22/2016,1.8507
,,1/25/2016,2.1413,2/19/2016,1.92
,,1/22/2016,2.2166,2/18/2016,1.98
,,1/21/2016,2.2037,2/17/2016,1.9094
,,1/20/2016,2.1419,2/16/2016,1.9029
,,1/19/2016,2.2154,2/12/2016,2.0473
,,1/15/2016,2.1816,2/11/2016,2.17
,,1/14/2016,2.1925,2/10/2016,2.17
,,1/13/2016,2.3023,2/9/2016,2.21
,,1/12/2016,2.3826,2/8/2016,2.24
,,1/11/2016,2.5259,2/5/2016,2.0898
,,1/8/2016,2.4695,2/4/2016,2.05
,,1/7/2016,2.3462,2/3/2016,2.072
,,1/6/2016,2.3499,2/2/2016,2.0533
,,1/5/2016,2.3239,2/1/2016,2.21
,,1/4/2016,2.3857,1/29/2016,2.29
,,12/31/2015,2.3124,1/28/2016,2.09
,,12/30/2015,2.2698,1/27/2016,2.23
,,12/29/2015,2.3669,1/26/2016,2.22
,,12/28/2015,2.0834,1/25/2016,2.18
,,12/24/2015,1.5284,1/22/2016,2.1836
,,12/23/2015,1.6248,1/21/2016,2.22
,,12/22/2015,1.7438,1/20/2016,2.2
,,12/21/2015,1.7058,1/19/2016,2.29
,,12/18/2015,1.6996,1/15/2016,2.34
,,12/17/2015,1.7472,1/14/2016,2.29
,,12/16/2015,1.6788,1/13/2016,2.32
,,12/15/2015,1.645,1/12/2016,2.405
,,12/14/2015,1.687,1/11/2016,2.58
,,12/11/2015,1.7702,1/8/2016,2.61
,,12/10/2015,1.9083,1/7/2016,2.4
,,12/9/2015,1.9983,1/6/2016,2.42
,,12/8/2015,1.9784,1/5/2016,2.37
,,12/7/2015,2.0333,1/4/2016,2.46
,,12/4/2015,2.0867,12/31/2015,2.4471
,,12/3/2015,2.1134,12/30/2015,2.3746
,,12/2/2015,2.1728,12/29/2015,2.54
,,12/1/2015,2.1473,12/28/2015,2.2748
,,,,12/24/2015,1.687
,,,,12/23/2015,1.73
,,,,12/22/2015,1.792
,,,,12/21/2015,1.8559
,,,,12/18/2015,1.7999
,,,,12/17/2015,2.06
,,,,12/16/2015,1.8481
,,,,12/15/2015,1.7416
,,,,12/14/2015,1.8166
,,,,12/11/2015,1.75
,,,,12/10/2015,1.92
,,,,12/9/2015,2
,,,,12/8/2015,1.9988
,,,,12/7/2015,2.04
,,,,12/4/2015,2.11
,,,,12/3/2015,2.08
,,,,12/2/2015,2.19
,,,,12/1/2015,2.23
