period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T19,ISNE,ISO New England,SUN,Solar,10,megawatthours
2019-12-31T19,ISNE,ISO New England,WAT,Hydro,901,megawatthours
2019-12-31T19,ISNE,ISO New England,WND,Wind,451,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20944,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,22210,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13351,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,470,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,177,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,912,megawatthours
2019-12-31T19,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,10282,megawatthours
2019-12-31T18,ISNE,ISO New England,COL,Coal,5,megawatthours
2019-12-31T18,ISNE,ISO New England,NG,Natural Gas,6244,megawatthours
2019-12-31T18,ISNE,ISO New England,NUC,Nuclear,3327,megawatthours
2019-12-31T18,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T18,ISNE,ISO New England,OTH,Other,679,megawatthours
2019-12-31T18,ISNE,ISO New England,SUN,Solar,19,megawatthours
2019-12-31T18,ISNE,ISO New England,WAT,Hydro,843,megawatthours
2019-12-31T18,ISNE,ISO New England,WND,Wind,469,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,21590,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,22535,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13349,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,469,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,169,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,944,megawatthours
2019-12-31T18,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,10594,megawatthours
2019-12-31T17,ISNE,ISO New England,COL,Coal,4,megawatthours
2019-12-31T17,ISNE,ISO New England,NG,Natural Gas,6031,megawatthours
