period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-26,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,65516,megawatthours
2019-12-26,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,65588,megawatthours
2019-12-26,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,65599,megawatthours
2019-12-26,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,226496,megawatthours
2019-12-26,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,225705,megawatthours
2019-12-26,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,224910,megawatthours
2019-12-26,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,226496,megawatthours
2019-12-26,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,227290,megawatthours
2019-12-25,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,60319,megawatthours
2019-12-25,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,60365,megawatthours
2019-12-25,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,60417,megawatthours
2019-12-25,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,60319,megawatthours
2019-12-25,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,60277,megawatthours
2019-12-25,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,205383,megawatthours
2019-12-25,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,205970,megawatthours
2019-12-25,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,206563,megawatthours
2019-12-25,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,205383,megawatthours
2019-12-25,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,204808,megawatthours
