period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T20,ISNE,ISO New England,NUC,Nuclear,3336,megawatthours,2019-12-31,Boston,3336
2019-12-31T20,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T20,ISNE,ISO New England,OTH,Other,682,megawatthours,2019-12-31,Boston,682
2019-12-31T20,ISNE,ISO New England,SUN,Solar,5,megawatthours,2019-12-31,Boston,5
2019-12-31T20,ISNE,ISO New England,WAT,Hydro,899,megawatthours,2019-12-31,Boston,899
2019-12-31T20,ISNE,ISO New England,WND,Wind,434,megawatthours,2019-12-31,Boston,434
2019-12-31T20,PJM,"PJM Interconnection, LLC",COL,Coal,11996,megawatthours,2019-12-31,Chicago,11996
2019-12-31T20,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32766,megawatthours,2019-12-31,Chicago,32766
2019-12-31T20,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28869,megawatthours,2019-12-31,Chicago,28869
2019-12-31T20,PJM,"PJM Interconnection, LLC",OIL,Petroleum,215,megawatthours,2019-12-31,Chicago,215
2019-12-31T20,PJM,"PJM Interconnection, LLC",OTH,Other,708,megawatthours,2019-12-31,Chicago,708
2019-12-31T20,PJM,"PJM Interconnection, LLC",SUN,Solar,144,megawatthours,2019-12-31,Chicago,144
2019-12-31T20,PJM,"PJM Interconnection, LLC",WAT,Hydro,1421,megawatthours,2019-12-31,Chicago,1421
2019-12-31T20,PJM,"PJM Interconnection, LLC",WND,Wind,2707,megawatthours,2019-12-31,Chicago,2707
2019-12-31T19,ISNE,ISO New England,COL,Coal,1,megawatthours,2019-12-31,Boston,1
2019-12-31T19,ISNE,ISO New England,NG,Natural Gas,6310,megawatthours,2019-12-31,Boston,6310
2019-12-31T19,ISNE,ISO New England,NUC,Nuclear,3329,megawatthours,2019-12-31,Boston,3329
2019-12-31T19,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T19,ISNE,ISO New England,OTH,Other,680,megawatthours,2019-12-31,Boston,680
2019-12-31T19,ISNE,ISO New England,SUN,Solar,10,megawatthours,2019-12-31,Boston,10
2019-12-31T19,ISNE,ISO New England,WAT,Hydro,901,megawatthours,2019-12-31,Boston,901
2019-12-31T19,ISNE,ISO New England,WND,Wind,451,megawatthours,2019-12-31,Boston,451
2019-12-31T19,PJM,"PJM Interconnection, LLC",COL,Coal,12338,megawatthours,2019-12-31,Chicago,12338
2019-12-31T19,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32173,megawatthours,2019-12-31,Chicago,32173
2019-12-31T19,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28852,megawatthours,2019-12-31,Chicago,28852
2019-12-31T19,PJM,"PJM Interconnection, LLC",OIL,Petroleum,218,megawatthours,2019-12-31,Chicago,218
2019-12-31T19,PJM,"PJM Interconnection, LLC",OTH,Other,703,megawatthours,2019-12-31,Chicago,703
2019-12-31T19,PJM,"PJM Interconnection, LLC",SUN,Solar,260,megawatthours,2019-12-31,Chicago,260
2019-12-31T19,PJM,"PJM Interconnection, LLC",WAT,Hydro,1273,megawatthours,2019-12-31,Chicago,1273
2019-12-31T19,PJM,"PJM Interconnection, LLC",WND,Wind,2793,megawatthours,2019-12-31,Chicago,2793
