date,respondent,class,total_renewable,total_mwh,pct_of_total
2020-05-19,PJM,traditional,1710234,1897568,90.12767921887385
2020-05-20,ISNE,green,32576,191124,17.0444318871518
2020-05-20,ISNE,traditional,158548,191124,82.9555681128482
2020-05-20,PJM,green,177249,1908282,9.288407059333997
2020-05-20,PJM,traditional,1731033,1908282,90.711592940666
2020-05-21,ISNE,green,39347,191469,20.55006293446981
2020-05-21,ISNE,traditional,152122,191469,79.44993706553018
2020-05-21,PJM,green,114137,1901772,6.001613232290727
2020-05-21,PJM,traditional,1787635,1901772,93.99838676770928
2020-05-22,ISNE,green,42856,208266,20.577530657908635
2020-05-22,ISNE,traditional,165410,208266,79.42246934209136
2020-05-22,PJM,green,83997,1910228,4.397223786898737
2020-05-22,PJM,traditional,1826231,1910228,95.60277621310127
2020-05-26,ISNE,green,30258,226044,13.385889472845994
2020-05-26,ISNE,traditional,195786,226044,86.61411052715401
2020-05-26,PJM,green,118770,2219886,5.350274743838197
2020-05-26,PJM,traditional,2101116,2219886,94.6497252561618
2020-05-27,ISNE,green,28681,255184,11.239341024515644
2020-05-27,ISNE,traditional,226503,255184,88.76065897548435
2020-05-27,PJM,green,113432,2250928,5.039343772879453
2020-05-27,PJM,traditional,2137496,2250928,94.96065622712054
2020-05-28,ISNE,green,27200,257546,10.561220131549314
2020-05-28,ISNE,traditional,230346,257546,89.43877986845068
2020-05-28,PJM,green,121555,2245656,5.4128949402758035
2020-05-28,PJM,traditional,2124101,2245656,94.5871050597242
2020-05-29,ISNE,green,37573,277836,13.523445485826171
2020-05-29,ISNE,traditional,240263,277836,86.47655451417383
2020-05-29,PJM,green,128491,2204572,5.828387550962273
2020-05-29,PJM,traditional,2076081,2204572,94.17161244903772
2020-06-01,ISNE,green,30916,188596,16.392712464739443
2020-06-01,ISNE,traditional,157680,188596,83.60728753526055
2020-06-01,PJM,green,147060,1900410,7.738330149809777
2020-06-01,PJM,traditional,1753350,1900410,92.26166985019022
2020-06-02,ISNE,green,22101,209819,10.533364471282392
2020-06-02,ISNE,traditional,187718,209819,89.4666355287176
2020-06-02,PJM,green,201353,2124637,9.47705419796417
2020-06-02,PJM,traditional,1923284,2124637,90.52294580203582
2020-06-03,ISNE,green,20114,237596,8.46563073452415
2020-06-03,ISNE,traditional,217482,237596,91.53436926547585
2020-06-03,PJM,green,153724,2346370,6.551566888427657
2020-06-03,PJM,traditional,2192646,2346370,93.44843311157234
2020-06-04,ISNE,green,27040,257541,10.49929914071934
2020-06-04,ISNE,traditional,230501,257541,89.50070085928066
2020-06-04,PJM,green,109790,2470895,4.443329239000443
2020-06-04,PJM,traditional,2361105,2470895,95.55667076099955
2020-06-05,ISNE,green,20095,268203,7.492459070181915
2020-06-05,ISNE,traditional,248108,268203,92.50754092981809
2020-06-05,PJM,green,108365,2453486,4.416776782096984
2020-06-05,PJM,traditional,2345121,2453486,95.58322321790301
2020-06-08,ISNE,green,27259,211832,12.868216322368669
2020-06-08,ISNE,traditional,184573,211832,87.13178367763133
2020-06-08,PJM,green,141320,2266834,6.234245648335961
2020-06-08,PJM,traditional,2125514,2266834,93.76575435166404
2020-06-09,ISNE,green,20302,246727,8.228527887097886
2020-06-09,ISNE,traditional,226425,246727,91.77147211290212
2020-06-09,PJM,green,199744,2546806,7.84292168308069
2020-06-09,PJM,traditional,2347062,2546806,92.15707831691931
2020-06-10,ISNE,green,29193,258093,11.311039044065511
2020-06-10,ISNE,traditional,228900,258093,88.68896095593449
2020-06-10,PJM,green,202680,2737930,7.402672822168572
2020-06-10,PJM,traditional,2535250,2737930,92.59732717783142
2020-06-11,ISNE,green,28529,266265,10.714513736315325
2020-06-11,ISNE,traditional,237736,266265,89.28548626368467
2020-06-11,PJM,green,160369,2438817,6.575688130761758
2020-06-11,PJM,traditional,2278448,2438817,93.42431186923824
2020-06-12,ISNE,green,23003,269812,8.525565949624182
2020-06-12,ISNE,traditional,246809,269812,91.47443405037582
2020-06-12,PJM,green,104436,2309179,4.522646360459713
2020-06-12,PJM,traditional,2204743,2309179,95.47735363954028
2020-06-15,ISNE,green,13865,219137,6.327092184341303
2020-06-15,ISNE,traditional,205272,219137,93.6729078156587
2020-06-15,PJM,green,99904,2035923,4.907061809312042
2020-06-15,PJM,traditional,1936019,2035923,95.09293819068796
2020-06-16,ISNE,green,13729,227612,6.0317557949493
2020-06-16,ISNE,traditional,213883,227612,93.9682442050507
2020-06-16,PJM,green,78196,2124000,3.681544256120527
2020-06-16,PJM,traditional,2045804,2124000,96.31845574387947
2020-06-17,ISNE,green,16032,239274,6.700268311642719
2020-06-17,ISNE,traditional,223242,239274,93.29973168835728
2020-06-17,PJM,green,76294,2218321,3.439267806597873
2020-06-17,PJM,traditional,2142027,2218321,96.56073219340213
2020-06-18,ISNE,green,19030,284020,6.700232378001549
2020-06-18,ISNE,traditional,264990,284020,93.29976762199846
2020-06-18,PJM,green,72274,2376498,3.041197594106959
2020-06-18,PJM,traditional,2304224,2376498,96.95880240589304
2020-06-19,ISNE,green,19565,310701,6.297050862404692
2020-06-19,ISNE,traditional,291136,310701,93.7029491375953
2020-06-19,PJM,green,78450,2422342,3.2386013205402047
2020-06-19,PJM,traditional,2343892,2422342,96.7613986794598
2020-06-22,ISNE,green,13434,333704,4.0257233955841105
2020-06-22,ISNE,traditional,320270,333704,95.97427660441589
2020-06-22,PJM,green,95743,2588316,3.6990460206559015
