Date,chicago,boston
2021-12-03,3.73,4.56
2021-12-02,4.08,7.81
2021-12-01,3.94,4.73
2021-11-30,4.17,7.78
2021-11-29,4.69,8.05
2021-11-24,4.76,6.68
2021-11-23,4.7,5.85
2021-11-22,4.52,12.73
2021-11-19,4.78,5.01
2021-11-18,4.85,5.06
2021-11-17,4.73,4.7
2021-11-16,4.94,4.91
2021-11-15,4.54,5.04
2021-11-12,4.71,5.13
2021-11-11,4.71,4.2
2021-11-10,4.42,4.22
2021-11-09,4.66,4.6
2021-11-08,5.19,5
2021-11-05,5.1,5.19
2021-11-04,5.54,5.7
2021-11-03,5.51,6.1
2021-11-02,5.31,5.75
2021-11-01,5.01,5.23
2021-10-29,5.16,5.35
2021-10-28,5.38,NA
2021-10-27,5.85,5.97
2021-10-26,5.56,5.97
2021-10-25,5.58,5.8
2021-10-22,4.98,NA
2021-10-21,4.91,5.19
2021-10-20,4.8,4.7
2021-10-19,4.6,4.37
2021-10-18,4.76,4.85
2021-10-15,5.01,5.45
2021-10-14,5.6,5.85
2021-10-13,5.15,5.65
2021-10-12,5.08,5.12
2021-10-11,5.08,NA
2021-10-08,5.15,NA
2021-10-07,5.39,5.34
2021-10-06,5.72,5.89
2021-10-05,6.02,6.5
2021-10-04,5.75,5
2021-10-01,5.28,NA
2021-09-30,5.39,4.75
2021-09-29,5.29,NA
2021-09-28,5.44,4.96
2021-09-27,5.06,4.65
2021-09-24,4.48,4.25
2021-09-23,4.62,4.49
2021-09-22,4.64,4.4
2021-09-21,4.63,4.3
2021-09-20,4.95,4.54
2021-09-17,5.03,5.3
2021-09-16,5.24,5.17
2021-09-15,5.49,5.5
2021-09-14,5.11,5.7
2021-09-13,5.08,5.05
2021-09-10,4.81,4.45
2021-09-09,4.73,4.3
2021-09-08,4.75,4.5
2021-09-07,4.45,4.4
2021-09-03,4.52,3.75
2021-09-02,4.51,NA
2021-09-01,4.4,NA
2021-08-31,4.18,NA
2021-08-30,4.13,4.14
2021-08-27,4.2,4
2021-08-26,4.02,4.14
2021-08-25,3.937,4.35
2021-08-24,3.9,4.3
2021-08-23,3.9,4.35
2021-08-20,3.76,3.85
2021-08-19,3.65,4.07
2021-08-18,3.71,3.89
2021-08-17,3.72,3.87
2021-08-16,3.75,3.8
2021-08-13,3.76,4.15
2021-08-12,3.85,4.21
2021-08-11,3.91,4.88
2021-08-10,3.97,4.57
2021-08-09,3.97,4.15
2021-08-06,4.03,4.07
2021-08-05,4.05,4.13
2021-08-04,4,NA
2021-08-03,3.81,NA
2021-08-02,3.83,NA
2021-07-30,3.68,NA
2021-07-29,3.81,2.88
2021-07-28,3.86,3.07
2021-07-27,3.9,3.35
2021-07-26,3.95,3.85
2021-07-23,3.88,3.35
2021-07-22,3.74,NA
2021-07-21,3.75,NA
2021-07-20,3.66,3.43
2021-07-19,3.63,3.77
2021-07-16,3.46,NA
2021-07-15,3.47,3.7
2021-07-14,3.56,3.6
2021-07-13,3.52,3.52
2021-07-12,3.55,NA
2021-07-09,3.48,3.1
2021-07-08,3.44,3.1
2021-07-07,3.4,NA
2021-07-06,3.45,3.78
2021-07-02,3.41,2.92
2021-07-01,3.3125,3
2021-06-30,3.53,4.25
2021-06-29,3.72,5.06
2021-06-28,3.61,4.84
2021-06-25,3.32,3.95
2021-06-24,3.17,NA
2021-06-23,3.14,NA
2021-06-22,3.05,NA
2021-06-21,2.99,2.75
2021-06-18,3.06,3
2021-06-17,3.1,2.65
2021-06-16,3.09,2.42
2021-06-15,3.19,2.3
2021-06-14,3.18,2.45
2021-06-11,3.15,2.24
2021-06-10,3.05,2.4
2021-06-09,3.06,2.5
2021-06-08,3.08,3.45
2021-06-07,2.99,3.65
2021-06-04,2.87,2.9
2021-06-03,2.83,2.05
2021-06-02,2.94,NA
2021-06-01,2.93,NA
2021-05-28,2.77,2.45
2021-05-27,2.72,NA
2021-05-26,2.8,2.5
2021-05-25,2.78,2.62
2021-05-24,2.71,2.4
2021-05-21,2.74,2.48
2021-05-20,2.78,2.55
2021-05-19,2.78,2.75
2021-05-18,2.86,3
2021-05-17,2.88,3.25
2021-05-14,2.69,2
2021-05-13,2.76,2.16
2021-05-12,2.778,2.26
2021-05-11,2.78,2.4
2021-05-10,2.78,3.1
2021-05-07,2.73,2.75
2021-05-06,2.76,2.4
2021-05-05,2.76,3.06
2021-05-04,2.78,2.55
2021-05-03,2.76,3.25
2021-04-30,2.64,1.8
2021-04-29,2.72,2.4
2021-04-28,2.79,2.5
2021-04-27,2.73,2.55
2021-04-26,2.57,2.66
2021-04-23,2.6,2.3
2021-04-22,2.63,2.75
2021-04-21,2.67,4.5
2021-04-20,2.77,2.7
2021-04-19,2.71,2.5
2021-04-16,2.6,NA
2021-04-15,2.54,3.42
2021-04-14,2.54,2.4
2021-04-13,2.53,2.25
2021-04-12,2.43,1.9
2021-04-09,2.34,NA
2021-04-08,2.37,2
2021-04-07,2.3,2.1
2021-04-06,2.25,NA
2021-04-05,2.24,2.15
2021-04-01,2.39,2.25
2021-03-31,2.54,2.58
2021-03-30,2.39,1.95
2021-03-29,2.34,2
2021-03-26,2.29,1.95
2021-03-25,2.39,2.1
2021-03-24,2.34,2.03
2021-03-23,2.47,2.15
2021-03-22,2.36,2.16
2021-03-19,2.28,2.25
2021-03-18,2.37,3.52
2021-03-17,2.42,2.8
2021-03-16,2.38,2.74
2021-03-15,2.42,4.05
2021-03-12,2.46,5
2021-03-11,2.53,2.33
2021-03-10,2.5,NA
2021-03-09,2.43,NA
2021-03-08,2.47,2.85
2021-03-05,2.57,NA
2021-03-04,2.62,8
2021-03-03,2.72,8.25
2021-03-02,2.75,4.75
2021-03-01,2.64,7.15
2021-02-26,2.59,4
2021-02-25,2.52,2.68
2021-02-24,2.69,3.55
2021-02-23,2.72,3.19
2021-02-22,2.72,4.31
2021-02-19,3.93,6.83
2021-02-18,6.18,8.72
2021-02-17,18.35,10.7
2021-02-16,21.99,10.35
2021-02-12,93.42,8.02
2021-02-11,7.94,12.03
2021-02-10,4.1,10.34
2021-02-09,3.27,10.32
2021-02-08,3.22,10.31
2021-02-05,3.51,10.13
2021-02-04,2.95,6.6
2021-02-03,2.84,8.62
2021-02-02,2.96,8.13
2021-02-01,2.76,7.1
2021-01-29,2.6,4.8
2021-01-28,2.56,11.29
2021-01-27,2.58,9.92
2021-01-26,2.58,4.61
2021-01-25,2.47,4.68
2021-01-22,2.38,5.04
2021-01-21,2.42,2.86
2021-01-20,2.35,NA
2021-01-19,2.44,4.51
2021-01-15,2.64,5.21
2021-01-14,2.63,3.03
2021-01-13,2.62,4.54
2021-01-12,2.71,4.37
2021-01-11,2.55,3.67
2021-01-08,2.6,3.85
2021-01-07,2.64,3.36
2021-01-06,2.58,NA
2021-01-05,2.58,3.3
2021-01-04,2.47,3.39
2020-12-31,2.3,2.47
2020-12-30,2.29,2.69
2020-12-29,2.27,3.38
2020-12-28,2.16,4.06
2020-12-24,2.48,NA
2020-12-23,2.58,2.5
2020-12-22,2.6,3.35
2020-12-21,2.49,4.04
2020-12-18,2.56,7.41
2020-12-17,2.53,11.18
2020-12-16,2.54,10.02
2020-12-15,2.54,7.19
2020-12-14,2.58,6.46
2020-12-11,2.41,2.2
2020-12-10,2.25,2.2
2020-12-09,2.27,2.9
2020-12-08,2.21,2.61
2020-12-07,2.19,2.91
2020-12-04,2.33,3
2020-12-03,2.29,2.18
2020-12-02,2.6,2.36
2020-12-01,2.53,2.74
2020-11-30,2.66,2.35
2020-11-26,2.44,1.3
2020-11-25,2.44,1.3
2020-11-24,2.25,1.98
2020-11-23,2.24,3.26
2020-11-20,2.16,1.83
2020-11-19,2.06,1.5
2020-11-18,2.09,2.18
2020-11-17,2.3,4.56
2020-11-16,2.44,4.46
2020-11-13,2.66,2.15
2020-11-12,2.67,2.11
2020-11-11,2.56,NA
2020-11-10,2.53,0.95
2020-11-09,2.33,0.69
2020-11-06,1.96,NA
2020-11-05,2.2,0.78
2020-11-04,2.4,0.93
2020-11-03,2.64,1.9
2020-11-02,2.93,3.4
2020-10-29,2.91,NA
2020-10-28,2.99,6.5
2020-10-27,3.05,2.6
2020-10-26,3.06,3.2
2020-10-23,2.91,NA
2020-10-22,2.93,1.6
2020-10-21,2.7,1.7
2020-10-20,2.68,2.15
2020-10-19,2.39,2
2020-10-16,2.14,NA
2020-10-15,2.24,1.85
2020-10-14,2.07,1.66
2020-10-13,1.92,1.7
2020-10-12,1.75,1.71
2020-10-09,1.24,0.74
2020-10-08,1.17,0.86
2020-10-07,1.56,1.43
2020-10-06,1.53,1.45
2020-10-05,1.45,1.45
2020-10-02,1.06,NA
2020-10-01,1.27,0.9
2020-09-30,1.43,1.35
2020-09-29,1.35,1.35
2020-09-28,1.54,1.58
2020-09-25,1.69,1.2
2020-09-24,1.89,1.65
2020-09-23,1.74,1.5
2020-09-22,1.5,NA
2020-09-21,1.44,NA
2020-09-18,1.45,1.4
2020-09-17,1.65,1.15
2020-09-16,1.9,1.25
2020-09-15,1.91,1.3
2020-09-14,1.93,NA
2020-09-11,1.78,1.35
2020-09-10,1.9,1.54
2020-09-09,1.95,1.9
2020-09-08,1.99,2.4
2020-09-04,1.99,NA
2020-09-03,2.18,1.63
2020-09-02,2.15,1.8
2020-09-01,2.09,1.65
2020-08-31,2.07,NA
2020-08-28,2.18,1.2
2020-08-27,2.28,1.4
2020-08-26,2.32,1.55
2020-08-24,2.39,1.81
2020-08-21,2.12,1.48
2020-08-20,2.19,1.43
2020-08-19,2.22,NA
2020-08-18,2.2,1.55
2020-08-17,2.16,1.56
2020-08-14,2.1,1.3
2020-08-13,2.03,1.49
2020-08-12,1.91,1.7
2020-08-11,1.96,2.11
2020-08-10,1.94,2.25
2020-08-07,1.89,NA
2020-08-06,1.92,1.45
2020-08-05,1.95,1.6
2020-08-04,1.92,1.85
2020-08-03,1.78,1.72
2020-07-31,1.66,1.6
2020-07-30,1.75,1.59
2020-07-29,1.77,1.84
2020-07-28,1.73,1.94
2020-07-27,1.69,1.85
2020-07-24,1.65,1.83
2020-07-23,1.63,1.6
2020-07-22,1.58,1.62
2020-07-21,1.61,1.58
2020-07-20,1.56,1.7
2020-07-17,1.65,1.83
2020-07-16,1.69,1.52
2020-07-15,1.68,NA
2020-07-14,1.66,1.6
2020-07-13,1.7,1.55
2020-07-10,1.69,1.66
2020-07-09,1.8,1.6
2020-07-08,1.78,1.8
2020-07-07,1.82,NA
2020-07-06,1.72,NA
2020-07-02,1.52,1.55
2020-07-01,1.55,1.58
2020-06-30,1.65,1.74
2020-06-29,1.63,NA
2020-06-26,1.43,1.5
2020-06-25,1.49,1.55
2020-06-24,1.58,1.57
2020-06-23,1.53,1.72
2020-06-22,1.61,1.86
2020-06-19,1.52,1.64
2020-06-18,1.5,1.6
2020-06-17,1.51,NA
2020-06-16,1.38,1.45
2020-06-15,1.45,NA
2020-06-12,1.48,1.35
2020-06-11,1.57,1.75
2020-06-10,1.6,NA
2020-06-09,1.62,1.65
2020-06-08,1.62,1.8
2020-06-05,1.59,1.4
2020-06-04,1.7,1.68
2020-06-03,1.76,1.7
2020-06-02,1.63,1.8
2020-06-01,1.53,1.55
2020-05-29,1.51,NA
2020-05-28,1.65,NA
2020-05-27,1.73,1.6
2020-05-26,1.7,1.9
2020-05-22,1.52,NA
2020-05-21,1.57,1.75
2020-05-20,1.75,1.75
2020-05-19,1.76,NA
2020-05-18,1.69,1.75
2020-05-15,1.54,NA
2020-05-14,1.51,1.08
2020-05-13,1.53,1.2
2020-05-12,1.63,NA
2020-05-11,1.74,1.75
2020-05-08,1.68,NA
2020-05-07,1.85,NA
2020-05-06,1.9,1.85
2020-05-05,1.97,1.9
2020-05-04,1.79,1.6
2020-05-01,1.71,NA
2020-04-30,1.65,NA
2020-04-29,1.65,1.71
2020-04-28,1.71,1.73
2020-04-27,1.71,1.78
2020-04-24,1.75,1.82
2020-04-23,1.83,1.88
2020-04-22,1.86,1.9
2020-04-21,1.83,1.91
2020-04-20,1.74,1.82
2020-04-17,1.74,NA
2020-04-16,1.53,1.55
2020-04-15,1.62,1.74
2020-04-14,1.69,1.76
2020-04-13,1.78,1.75
2020-04-09,1.64,1.46
2020-04-08,1.74,1.85
2020-04-07,1.72,NA
2020-04-06,1.65,1.65
2020-04-03,1.42,1.4
2020-04-02,1.45,1.41
2020-04-01,1.51,1.46
2020-03-31,1.56,1.64
2020-03-30,1.45,1.53
2020-03-27,1.37,1.3
2020-03-26,1.48,1.45
2020-03-25,1.52,1.6
2020-03-24,1.54,1.67
2020-03-23,1.49,1.55
2020-03-20,1.55,1.6
2020-03-19,1.54,1.36
2020-03-18,1.49,1.42
2020-03-17,1.64,NA
2020-03-16,1.69,1.69
2020-03-13,1.75,1.78
2020-03-12,1.66,1.56
2020-03-11,1.78,1.76
2020-03-10,1.68,1.8
2020-03-09,1.53,1.57
2020-03-06,1.52,1.62
2020-03-05,1.64,1.81
2020-03-04,1.66,1.69
2020-03-03,1.6,1.69
2020-03-02,1.57,1.75
2020-02-28,1.58,1.75
2020-02-27,1.63,2.3
2020-02-26,1.76,2
2020-02-25,1.77,1.94
2020-02-24,1.73,1.93
2020-02-21,1.75,NA
2020-02-20,1.83,2.33
2020-02-19,1.9,2.7
2020-02-18,1.86,2.34
2020-02-14,1.73,2.12
2020-02-13,1.8,3.49
2020-02-12,1.82,2.45
2020-02-11,1.72,1.95
2020-02-10,1.7,2.06
2020-02-07,1.77,2.7
2020-02-06,1.74,2.63
2020-02-05,1.74,1.92
2020-02-04,1.73,2.14
2020-02-03,1.73,1.99
2020-01-31,1.67,1.82
2020-01-30,1.77,1.8
2020-01-29,1.81,2.2
2020-01-28,1.82,2.36
2020-01-27,1.83,2.05
2020-01-24,1.77,1.92
2020-01-23,1.82,1.95
2020-01-22,1.79,2
2020-01-21,1.82,2.7
2020-01-17,1.97,4.76
2020-01-16,2,6.87
2020-01-15,1.98,2.88
2020-01-14,2.05,2.4
2020-01-13,2.03,2.32
2020-01-10,2.02,1.87
2020-01-09,1.96,2.05
2020-01-08,1.97,2.67
2020-01-07,2.02,3.02
2020-01-06,2.05,2.97
2020-01-03,1.92,2.44
2020-01-02,1.93,2.22
2019-12-31,1.94,2.31
